Turn,Speaker,Cue,Capsules,Capsules OIE
10,Leolani2,No,,
11,Piotr,Many of us feel that way,,"[{'chat': 133, 'turn': 10, 'author': 'Leolani', 'utterance': 'Many of us feel that way', 'utterance_type': 'STATEMENT', 'position': '0-24', 'subject': {'label': 'us', 'type': []}, 'predicate': {'label': 'feel', 'type': []}, 'object': {'label': 'way', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:56:46.518812', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
12,Leolani2,Garfield is orange,,"[{'chat': 133, 'turn': 11, 'author': 'Leolani', 'utterance': 'Garfield is orange', 'utterance_type': 'STATEMENT', 'position': '0-18', 'subject': {'label': 'Garfield', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'orange', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:56:53.050234', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
13,Piotr,I am curious. What types of orange orInstance like orange do person orInstance usually be,,"[{'chat': 133, 'turn': 12, 'author': 'Leolani', 'utterance': 'I am curious. What types of orange orInstance like orange do person orInstance usually be', 'utterance_type': 'STATEMENT', 'position': '0-89', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'curious', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:56:59.560938', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
14,Leolani2,Orange is a color,,"[{'chat': 133, 'turn': 13, 'author': 'Leolani', 'utterance': 'Orange is a color', 'utterance_type': 'STATEMENT', 'position': '0-17', 'subject': {'label': 'Orange', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'color', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:06.141944', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
15,Piotr,I am curious. Has orange like by agent?,,"[{'chat': 133, 'turn': 14, 'author': 'Leolani', 'utterance': 'I am curious. Has orange like by agent?', 'utterance_type': 'STATEMENT', 'position': '0-39', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'curious', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:12.624648', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
16,Leolani2,I like orange,,"[{'chat': 133, 'turn': 15, 'author': 'Leolani', 'utterance': 'I like orange', 'utterance_type': 'STATEMENT', 'position': '0-13', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'like', 'type': []}, 'object': {'label': 'orange', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:19.142437', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
17,Piotr,Interesting! I did not know anything that piotr like,,
18,Leolani2,Garfield's favourite food is lasagne,,"[{'chat': 133, 'turn': 17, 'author': 'Leolani', 'utterance': ""Garfield's favourite food is lasagne"", 'utterance_type': 'STATEMENT', 'position': '0-36', 'subject': {'label': 'Garfield', 'type': []}, 'predicate': {'label': 'has', 'type': []}, 'object': {'label': 'favourite food', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:32.100811', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 17, 'author': 'Leolani', 'utterance': ""Garfield's favourite food is lasagne"", 'utterance_type': 'STATEMENT', 'position': '0-36', 'subject': {'label': ""Garfield 's food"", 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'lasagne', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:32.100811', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 17, 'author': 'Leolani', 'utterance': ""Garfield's favourite food is lasagne"", 'utterance_type': 'STATEMENT', 'position': '0-36', 'subject': {'label': ""Garfield 's favourite food"", 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'lasagne', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:32.100811', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
19,Piotr,Let me ask you something. Has garfield favourite food ever like by a agent?,,"[{'chat': 133, 'turn': 18, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has garfield favourite food ever like by a agent?', 'utterance_type': 'STATEMENT', 'position': '0-75', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:38.671295', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 18, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has garfield favourite food ever like by a agent?', 'utterance_type': 'STATEMENT', 'position': '0-75', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:38.671295', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
20,Leolani2,I like lasagne too,,"[{'chat': 133, 'turn': 19, 'author': 'Leolani', 'utterance': 'I like lasagne too', 'utterance_type': 'STATEMENT', 'position': '0-18', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'like too', 'type': []}, 'object': {'label': 'lasagne', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:45.217366', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 19, 'author': 'Leolani', 'utterance': 'I like lasagne too', 'utterance_type': 'STATEMENT', 'position': '0-18', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'like', 'type': []}, 'object': {'label': 'lasagne', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:45.217366', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
21,Leolani2,May I ask you why?,,"[{'chat': 133, 'turn': 20, 'author': 'Leolani', 'utterance': 'May I ask you why?', 'utterance_type': 'STATEMENT', 'position': '0-18', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'May ask', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:51.680897', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
22,,How are you doing? Can you tell me your name Ella?,,"[{'chat': 133, 'turn': 21, 'author': 'Leolani', 'utterance': 'How are you doing? Can you tell me your name Ella?', 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'your', 'type': []}, 'predicate': {'label': 'name', 'type': []}, 'object': {'label': 'Ella', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:58.123043', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 21, 'author': 'Leolani', 'utterance': 'How are you doing? Can you tell me your name Ella?', 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Can tell', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:58.123043', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 21, 'author': 'Leolani', 'utterance': 'How are you doing? Can you tell me your name Ella?', 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Can tell', 'type': []}, 'object': {'label': 'your name', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:58.123043', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 21, 'author': 'Leolani', 'utterance': 'How are you doing? Can you tell me your name Ella?', 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Can tell', 'type': []}, 'object': {'label': 'Ella', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:57:58.123043', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
23,,Ella,,
24,,So your name is Ella?,,"[{'chat': 133, 'turn': 23, 'author': 'Leolani', 'utterance': 'So your name is Ella?', 'utterance_type': 'STATEMENT', 'position': '0-21', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'So Ella', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:58:11.141208', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 23, 'author': 'Leolani', 'utterance': 'So your name is Ella?', 'utterance_type': 'STATEMENT', 'position': '0-21', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'Ella', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:58:11.141208', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
25,Leolani2,yes,,
26,Ella,Do you have any gossip?,,"[{'chat': 133, 'turn': 25, 'author': 'Leolani', 'utterance': 'Do you have any gossip?', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Do have', 'type': []}, 'object': {'label': 'gossip', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:58:23.921637', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
27,Leolani2,My favourite animal is a flamingo,,"[{'chat': 133, 'turn': 26, 'author': 'Leolani', 'utterance': 'My favourite animal is a flamingo', 'utterance_type': 'STATEMENT', 'position': '0-33', 'subject': {'label': 'My animal', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'flamingo', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:58:30.421839', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 26, 'author': 'Leolani', 'utterance': 'My favourite animal is a flamingo', 'utterance_type': 'STATEMENT', 'position': '0-33', 'subject': {'label': 'My favourite animal', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'flamingo', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:58:30.421839', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
28,Ella,I would like to know. What types of publisher orInstance like a flamingo do person orInstance usually favourite animal is,,"[{'chat': 133, 'turn': 27, 'author': 'Leolani', 'utterance': 'I would like to know. What types of publisher orInstance like a flamingo do person orInstance usually favourite animal is', 'utterance_type': 'STATEMENT', 'position': '0-121', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'would like', 'type': []}, 'object': {'label': 'know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:58:36.935372', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 27, 'author': 'Leolani', 'utterance': 'I would like to know. What types of publisher orInstance like a flamingo do person orInstance usually favourite animal is', 'utterance_type': 'STATEMENT', 'position': '0-121', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'would like', 'type': []}, 'object': {'label': 'to know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:58:36.935372', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
29,Leolani2,a flamingo is an animal,,"[{'chat': 133, 'turn': 28, 'author': 'Leolani', 'utterance': 'a flamingo is an animal', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'flamingo', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'animal', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:58:43.508058', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
30,Ella,I am curious. What types can a flamingo be,,"[{'chat': 133, 'turn': 29, 'author': 'Leolani', 'utterance': 'I am curious. What types can a flamingo be', 'utterance_type': 'STATEMENT', 'position': '0-42', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'curious', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:58:50.008165', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
31,Leolani2,a flamingo is a bird,,"[{'chat': 133, 'turn': 30, 'author': 'Leolani', 'utterance': 'a flamingo is a bird', 'utterance_type': 'STATEMENT', 'position': '0-20', 'subject': {'label': 'flamingo', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'bird', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:58:56.484578', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
32,Ella,I would like to know. What types can a flamingo be,,"[{'chat': 133, 'turn': 31, 'author': 'Leolani', 'utterance': 'I would like to know. What types can a flamingo be', 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'would like', 'type': []}, 'object': {'label': 'know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:59:02.935674', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 31, 'author': 'Leolani', 'utterance': 'I would like to know. What types can a flamingo be', 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'would like', 'type': []}, 'object': {'label': 'to know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:59:02.935674', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
33,Leolani2,a flamingo is pink,,"[{'chat': 133, 'turn': 32, 'author': 'Leolani', 'utterance': 'a flamingo is pink', 'utterance_type': 'STATEMENT', 'position': '0-18', 'subject': {'label': 'flamingo', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'pink', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:59:09.507218', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
34,Ella,This is news to me. I had never heard about a flamingo before!,,"[{'chat': 133, 'turn': 33, 'author': 'Leolani', 'utterance': 'This is news to me. I had never heard about a flamingo before!', 'utterance_type': 'STATEMENT', 'position': '0-62', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard before about', 'type': []}, 'object': {'label': 'flamingo', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:59:16.089623', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 33, 'author': 'Leolani', 'utterance': 'This is news to me. I had never heard about a flamingo before!', 'utterance_type': 'STATEMENT', 'position': '0-62', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard about', 'type': []}, 'object': {'label': 'flamingo', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:59:16.089623', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 33, 'author': 'Leolani', 'utterance': 'This is news to me. I had never heard about a flamingo before!', 'utterance_type': 'STATEMENT', 'position': '0-62', 'subject': {'label': 'This', 'type': []}, 'predicate': {'label': 'is news to', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:59:16.089623', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
35,Leolani2,a flamingo likes shrimp,,"[{'chat': 133, 'turn': 34, 'author': 'Leolani', 'utterance': 'a flamingo likes shrimp', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'flamingo', 'type': []}, 'predicate': {'label': 'likes', 'type': []}, 'object': {'label': 'shrimp', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:59:22.627081', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
36,Ella,I see,,
37,Leolani2,a flamingo like shrimp,,
38,Ella,This is news to me. I did not know anybody that a flamingo like,,"[{'chat': 133, 'turn': 37, 'author': 'Leolani', 'utterance': 'This is news to me. I did not know anybody that a flamingo like', 'utterance_type': 'STATEMENT', 'position': '0-63', 'subject': {'label': 'This', 'type': []}, 'predicate': {'label': 'is news to', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:59:42.153907', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
39,Leolani2,a flamingo can fly,,
40,Ella,I did not know that! I had never heard about a flamingo before!,,"[{'chat': 133, 'turn': 39, 'author': 'Leolani', 'utterance': 'I did not know that! I had never heard about a flamingo before!', 'utterance_type': 'STATEMENT', 'position': '0-63', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard before about', 'type': []}, 'object': {'label': 'flamingo', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:59:55.393462', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 133, 'turn': 39, 'author': 'Leolani', 'utterance': 'I did not know that! I had never heard about a flamingo before!', 'utterance_type': 'STATEMENT', 'position': '0-63', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard about', 'type': []}, 'object': {'label': 'flamingo', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T00:59:55.393462', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
41,Leolani2,what do I like?,,
42,Ella,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",,
43,Leolani2,what is flamingo?,,
44,Ella,I have no idea.,,
45,Leolani2,stop,,
