Turn,Speaker,Cue,Capsules,Capsules OIE
10,Leolani2,Do you have a pet?,,"[{'chat': 120, 'turn': 9, 'author': 'Leolani', 'utterance': 'Do you have a pet?', 'utterance_type': 'STATEMENT', 'position': '0-18', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Do have', 'type': []}, 'object': {'label': 'pet', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:51:49.189534', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
11,Nicole,"I know agent usually do article:indefinite, but I do not know this case",,"[{'chat': 120, 'turn': 10, 'author': 'Leolani', 'utterance': 'I know agent usually do article:indefinite, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-71', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'usually do', 'type': []}, 'object': {'label': 'article', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:51:55.760303', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 10, 'author': 'Leolani', 'utterance': 'I know agent usually do article:indefinite, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-71', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'do', 'type': []}, 'object': {'label': 'article', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:51:55.760303', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
12,Leolani2,My parents have a dog,,"[{'chat': 120, 'turn': 11, 'author': 'Leolani', 'utterance': 'My parents have a dog', 'utterance_type': 'STATEMENT', 'position': '0-21', 'subject': {'label': 'My parents', 'type': []}, 'predicate': {'label': 'have', 'type': []}, 'object': {'label': 'dog', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:52:02.308469', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
13,Nicole,"I just learned something, I had never heard about my parents before!",,"[{'chat': 120, 'turn': 12, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about my parents before!', 'utterance_type': 'STATEMENT', 'position': '0-68', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard before about', 'type': []}, 'object': {'label': 'my parents', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:52:08.873736', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 12, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about my parents before!', 'utterance_type': 'STATEMENT', 'position': '0-68', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:52:08.873736', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 12, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about my parents before!', 'utterance_type': 'STATEMENT', 'position': '0-68', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'just learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:52:08.873736', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 12, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about my parents before!', 'utterance_type': 'STATEMENT', 'position': '0-68', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard about', 'type': []}, 'object': {'label': 'my parents', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:52:08.873736', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
14,Leolani2,Every agent has parents,,"[{'chat': 120, 'turn': 13, 'author': 'Leolani', 'utterance': 'Every agent has parents', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'has', 'type': []}, 'object': {'label': 'parents', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:52:15.475053', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
15,Nicole,Let me ask you something. Has every agent ever be family of a person?,,"[{'chat': 120, 'turn': 14, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has every agent ever be family of a person?', 'utterance_type': 'STATEMENT', 'position': '0-69', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'be', 'type': []}, 'object': {'label': 'Has ever family', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:52:21.967761', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 14, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has every agent ever be family of a person?', 'utterance_type': 'STATEMENT', 'position': '0-69', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:52:21.967761', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 14, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has every agent ever be family of a person?', 'utterance_type': 'STATEMENT', 'position': '0-69', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'be', 'type': []}, 'object': {'label': 'Has family', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:52:21.967761', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 14, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has every agent ever be family of a person?', 'utterance_type': 'STATEMENT', 'position': '0-69', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'be', 'type': []}, 'object': {'label': 'Has family of person', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:52:21.967761', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 14, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has every agent ever be family of a person?', 'utterance_type': 'STATEMENT', 'position': '0-69', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'be', 'type': []}, 'object': {'label': 'Has ever family of person', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:52:21.967761', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 14, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has every agent ever be family of a person?', 'utterance_type': 'STATEMENT', 'position': '0-69', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:52:21.967761', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
16,Leolani2,yes,,
17,Nicole,I do frequently do not know things,,
18,Leolani2,stop,,
19,Leolani2,I do frequently do not know things,,
20,Nicole,Do you have any gossip?,,"[{'chat': 120, 'turn': 19, 'author': 'Leolani', 'utterance': 'Do you have any gossip?', 'utterance_type': 'STATEMENT', 'position': '0-23', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Do have', 'type': []}, 'object': {'label': 'gossip', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:52:54.322406', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
21,Leolani2,I live in Amsterdam,,"[{'chat': 120, 'turn': 20, 'author': 'Leolani', 'utterance': 'I live in Amsterdam', 'utterance_type': 'STATEMENT', 'position': '0-19', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'live in', 'type': []}, 'object': {'label': 'Amsterdam', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:53:00.893445', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
22,Nicole,This is news to me. I did not know anybody who live in amsterdam,,"[{'chat': 120, 'turn': 21, 'author': 'Leolani', 'utterance': 'This is news to me. I did not know anybody who live in amsterdam', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'This', 'type': []}, 'predicate': {'label': 'is news to', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:53:07.320966', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
23,Leolani2,Where do you live?,,
24,Nicole,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",,
25,Leolani2,Do you know another city?,,
26,Nicole,"I know agent usually do know noun.location, but I do not know this case",,"[{'chat': 120, 'turn': 25, 'author': 'Leolani', 'utterance': 'I know agent usually do know noun.location, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-71', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'usually know', 'type': []}, 'object': {'label': 'noun.location', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:53:33.624559', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 25, 'author': 'Leolani', 'utterance': 'I know agent usually do know noun.location, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-71', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'know', 'type': []}, 'object': {'label': 'noun.location', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:53:33.624559', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
27,Leolani2,I lived in the South of Holland,,"[{'chat': 120, 'turn': 26, 'author': 'Leolani', 'utterance': 'I lived in the South of Holland', 'utterance_type': 'STATEMENT', 'position': '0-31', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'lived in', 'type': []}, 'object': {'label': 'South', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:53:40.143584', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 26, 'author': 'Leolani', 'utterance': 'I lived in the South of Holland', 'utterance_type': 'STATEMENT', 'position': '0-31', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'lived in', 'type': []}, 'object': {'label': 'South of Holland', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:53:40.143584', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
28,Nicole,"I just learned something, I had never heard about the south of holland before!",,"[{'chat': 120, 'turn': 27, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about the south of holland before!', 'utterance_type': 'STATEMENT', 'position': '0-78', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard before about', 'type': []}, 'object': {'label': 'south of holland', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:53:46.704130', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 27, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about the south of holland before!', 'utterance_type': 'STATEMENT', 'position': '0-78', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard about', 'type': []}, 'object': {'label': 'south', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:53:46.704130', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 27, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about the south of holland before!', 'utterance_type': 'STATEMENT', 'position': '0-78', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard about', 'type': []}, 'object': {'label': 'south of holland', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:53:46.704130', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 27, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about the south of holland before!', 'utterance_type': 'STATEMENT', 'position': '0-78', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'just learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:53:46.704130', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 27, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about the south of holland before!', 'utterance_type': 'STATEMENT', 'position': '0-78', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard before about', 'type': []}, 'object': {'label': 'south', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:53:46.704130', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 27, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about the south of holland before!', 'utterance_type': 'STATEMENT', 'position': '0-78', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:53:46.704130', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
29,Leolani2,stop,,
30,Leolani2,There is no escape from destiny,,
31,Nicole,Would you like to chat? I'll do my best to keep up,,"[{'chat': 120, 'turn': 30, 'author': 'Leolani', 'utterance': ""Would you like to chat? I'll do my best to keep up"", 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': ""'ll do"", 'type': []}, 'object': {'label': 'my best', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:54:06.336745', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 30, 'author': 'Leolani', 'utterance': ""Would you like to chat? I'll do my best to keep up"", 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Would like', 'type': []}, 'object': {'label': 'chat', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:54:06.336745', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 30, 'author': 'Leolani', 'utterance': ""Would you like to chat? I'll do my best to keep up"", 'utterance_type': 'STATEMENT', 'position': '0-50', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Would like', 'type': []}, 'object': {'label': 'to chat', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:54:06.336745', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
32,Leolani2,Yes,,
33,Nicole,"But, why?",,
34,Leolani2,stop,,
35,Leolani2,"Be that as it may, still may it be as it may be",,
36,,Good to see you! What is your name? Stranger?,,"[{'chat': 120, 'turn': 35, 'author': 'Leolani', 'utterance': 'Good to see you! What is your name? Stranger?', 'utterance_type': 'STATEMENT', 'position': '0-45', 'subject': {'label': 'Good', 'type': []}, 'predicate': {'label': 'see', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:54:38.605244', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
37,,Fajjaaz,,
38,,So your name is Fajjaaz?,,"[{'chat': 120, 'turn': 37, 'author': 'Leolani', 'utterance': 'So your name is Fajjaaz?', 'utterance_type': 'STATEMENT', 'position': '0-24', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'So Fajjaaz', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:54:51.557514', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 37, 'author': 'Leolani', 'utterance': 'So your name is Fajjaaz?', 'utterance_type': 'STATEMENT', 'position': '0-24', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'Fajjaaz', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:54:51.557514', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
39,Leolani2,yes,,
40,Fajjaaz,Let's chat!,,
41,Leolani2,lets chat about food,,
42,Fajjaaz,"I know noun.communication usually let about noun.Tops, but I do not know this case",,"[{'chat': 120, 'turn': 41, 'author': 'Leolani', 'utterance': 'I know noun.communication usually let about noun.Tops, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-82', 'subject': {'label': 'noun.communication', 'type': []}, 'predicate': {'label': 'usually let about', 'type': []}, 'object': {'label': 'noun.Tops', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:55:17.450127', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 41, 'author': 'Leolani', 'utterance': 'I know noun.communication usually let about noun.Tops, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-82', 'subject': {'label': 'noun.communication', 'type': []}, 'predicate': {'label': 'let about', 'type': []}, 'object': {'label': 'noun.Tops', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:55:17.450127', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
43,Leolani2,why not?,,
44,Fajjaaz,As the prophecy foretold,,
45,Leolani2,which prophecy are you talking about?,,
46,Fajjaaz,I do frequently do not know things,,
47,Leolani2,How come?,,
48,Fajjaaz,That's just what he/she/they would've said,,
49,Leolani2,Do you like food?,,
50,Fajjaaz,"I know agent usually do like noun.Tops, but I do not know this case",,"[{'chat': 120, 'turn': 49, 'author': 'Leolani', 'utterance': 'I know agent usually do like noun.Tops, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-67', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'do like', 'type': []}, 'object': {'label': 'noun.Tops', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:56:09.649725', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 120, 'turn': 49, 'author': 'Leolani', 'utterance': 'I know agent usually do like noun.Tops, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-67', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'usually do like', 'type': []}, 'object': {'label': 'noun.Tops', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:56:09.649725', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
51,Leolani2,That is a shame,,
52,Fajjaaz,This is news to me. I did not know anybody who be a shame,,"[{'chat': 120, 'turn': 51, 'author': 'Leolani', 'utterance': 'This is news to me. I did not know anybody who be a shame', 'utterance_type': 'STATEMENT', 'position': '0-57', 'subject': {'label': 'This', 'type': []}, 'predicate': {'label': 'is news to', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:56:22.767219', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
53,Leolani2,You know now!,,
