Turn,Speaker,Cue,Capsules,Capsules OIE
10,Leolani2,Do you have fingers?,,"[{'chat': 40, 'turn': 9, 'author': 'Leolani', 'utterance': 'Do you have fingers?', 'utterance_type': 'STATEMENT', 'position': '0-20', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Do have', 'type': []}, 'object': {'label': 'fingers', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:34:44.986978', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
11,Nicole,"I know agent usually do noun.body, but I do not know this case",,"[{'chat': 40, 'turn': 10, 'author': 'Leolani', 'utterance': 'I know agent usually do noun.body, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-62', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'do', 'type': []}, 'object': {'label': 'noun.body', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:34:51.521023', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 10, 'author': 'Leolani', 'utterance': 'I know agent usually do noun.body, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-62', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'usually do', 'type': []}, 'object': {'label': 'noun.body', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:34:51.521023', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
12,Leolani2,I have 10 fingers,,"[{'chat': 40, 'turn': 11, 'author': 'Leolani', 'utterance': 'I have 10 fingers', 'utterance_type': 'STATEMENT', 'position': '0-17', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'have', 'type': []}, 'object': {'label': '10 fingers', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:34:58.187684', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
13,Nicole,I am curious. Has nicole ever write by a book?,,"[{'chat': 40, 'turn': 12, 'author': 'Leolani', 'utterance': 'I am curious. Has nicole ever write by a book?', 'utterance_type': 'STATEMENT', 'position': '0-46', 'subject': {'label': 'nicole', 'type': []}, 'predicate': {'label': 'Has ever write by', 'type': []}, 'object': {'label': 'book', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:35:04.764354', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 12, 'author': 'Leolani', 'utterance': 'I am curious. Has nicole ever write by a book?', 'utterance_type': 'STATEMENT', 'position': '0-46', 'subject': {'label': 'nicole', 'type': []}, 'predicate': {'label': 'Has write by', 'type': []}, 'object': {'label': 'book', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:35:04.764354', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 12, 'author': 'Leolani', 'utterance': 'I am curious. Has nicole ever write by a book?', 'utterance_type': 'STATEMENT', 'position': '0-46', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'curious', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:35:04.764354', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
14,Leolani2,No but I can write ,,
15,Nicole,I do frequently do not know things,,
16,Leolani2,Do you write?,,
17,Nicole,"I know agent usually do verb.creation, but I do not know this case",,"[{'chat': 40, 'turn': 16, 'author': 'Leolani', 'utterance': 'I know agent usually do verb.creation, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-66', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'usually do', 'type': []}, 'object': {'label': 'verb.creation', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:35:31.033067', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 16, 'author': 'Leolani', 'utterance': 'I know agent usually do verb.creation, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-66', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'do', 'type': []}, 'object': {'label': 'verb.creation', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:35:31.033067', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
18,Leolani2,I like reading,,"[{'chat': 40, 'turn': 17, 'author': 'Leolani', 'utterance': 'I like reading', 'utterance_type': 'STATEMENT', 'position': '0-14', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'like', 'type': []}, 'object': {'label': 'reading', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:35:37.690342', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
19,Nicole,"I just learned something, I am excited to get to know about you!",,"[{'chat': 40, 'turn': 18, 'author': 'Leolani', 'utterance': 'I just learned something, I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'just learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:35:44.149142', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 18, 'author': 'Leolani', 'utterance': 'I just learned something, I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:35:44.149142', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 18, 'author': 'Leolani', 'utterance': 'I just learned something, I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'excited', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:35:44.149142', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 18, 'author': 'Leolani', 'utterance': 'I just learned something, I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:35:44.149142', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 18, 'author': 'Leolani', 'utterance': 'I just learned something, I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'to know about you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:35:44.149142', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 18, 'author': 'Leolani', 'utterance': 'I just learned something, I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'know about you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:35:44.149142', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 18, 'author': 'Leolani', 'utterance': 'I just learned something, I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-64', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'to know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:35:44.149142', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
20,Leolani2,stop,,
21,Leolani2,I see,,
22,,Yo Can you tell me your name Stranger?,,"[{'chat': 40, 'turn': 21, 'author': 'Leolani', 'utterance': 'Yo Can you tell me your name Stranger?', 'utterance_type': 'STATEMENT', 'position': '0-38', 'subject': {'label': 'Yo', 'type': []}, 'predicate': {'label': 'Can tell', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:03.564508', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 21, 'author': 'Leolani', 'utterance': 'Yo Can you tell me your name Stranger?', 'utterance_type': 'STATEMENT', 'position': '0-38', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Can tell', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:03.564508', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 21, 'author': 'Leolani', 'utterance': 'Yo Can you tell me your name Stranger?', 'utterance_type': 'STATEMENT', 'position': '0-38', 'subject': {'label': 'Yo', 'type': []}, 'predicate': {'label': 'Can tell', 'type': []}, 'object': {'label': 'your name Stranger', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:03.564508', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 21, 'author': 'Leolani', 'utterance': 'Yo Can you tell me your name Stranger?', 'utterance_type': 'STATEMENT', 'position': '0-38', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'Can tell', 'type': []}, 'object': {'label': 'your name Stranger', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:03.564508', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
23,,Fajjaaz,,
24,,So your name is Fajjaaz?,,"[{'chat': 40, 'turn': 23, 'author': 'Leolani', 'utterance': 'So your name is Fajjaaz?', 'utterance_type': 'STATEMENT', 'position': '0-24', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'So Fajjaaz', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:16.496722', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 23, 'author': 'Leolani', 'utterance': 'So your name is Fajjaaz?', 'utterance_type': 'STATEMENT', 'position': '0-24', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'Fajjaaz', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:16.496722', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
25,Leolani2,yes,,
26,Fajjaaz,"Tell me anything, I love learning things",,"[{'chat': 40, 'turn': 25, 'author': 'Leolani', 'utterance': 'Tell me anything, I love learning things', 'utterance_type': 'STATEMENT', 'position': '0-40', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'love', 'type': []}, 'object': {'label': 'things', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:29.281565', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 25, 'author': 'Leolani', 'utterance': 'Tell me anything, I love learning things', 'utterance_type': 'STATEMENT', 'position': '0-40', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'love', 'type': []}, 'object': {'label': 'learning things', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:29.281565', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
27,Leolani2,I can learn you new things!,,"[{'chat': 40, 'turn': 26, 'author': 'Leolani', 'utterance': 'I can learn you new things!', 'utterance_type': 'STATEMENT', 'position': '0-27', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'can learn', 'type': []}, 'object': {'label': 'new things', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:35.765470', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 26, 'author': 'Leolani', 'utterance': 'I can learn you new things!', 'utterance_type': 'STATEMENT', 'position': '0-27', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'can learn', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:35.765470', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 26, 'author': 'Leolani', 'utterance': 'I can learn you new things!', 'utterance_type': 'STATEMENT', 'position': '0-27', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'can learn', 'type': []}, 'object': {'label': 'things', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:35.765470', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
28,Fajjaaz,This is news to me. I am excited to get to know about you!,,"[{'chat': 40, 'turn': 27, 'author': 'Leolani', 'utterance': 'This is news to me. I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-58', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:42.291713', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 27, 'author': 'Leolani', 'utterance': 'This is news to me. I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-58', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'excited', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:42.291713', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 27, 'author': 'Leolani', 'utterance': 'This is news to me. I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-58', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'to know about you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:42.291713', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 27, 'author': 'Leolani', 'utterance': 'This is news to me. I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-58', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'know about you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:42.291713', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 27, 'author': 'Leolani', 'utterance': 'This is news to me. I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-58', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'get', 'type': []}, 'object': {'label': 'to know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:42.291713', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 27, 'author': 'Leolani', 'utterance': 'This is news to me. I am excited to get to know about you!', 'utterance_type': 'STATEMENT', 'position': '0-58', 'subject': {'label': 'This', 'type': []}, 'predicate': {'label': 'is news to', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:42.291713', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
29,Leolani2,What would you like to know about me?,,"[{'chat': 40, 'turn': 28, 'author': 'Leolani', 'utterance': 'What would you like to know about me?', 'utterance_type': 'STATEMENT', 'position': '0-37', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'would like', 'type': []}, 'object': {'label': 'to know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:48.826816', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 28, 'author': 'Leolani', 'utterance': 'What would you like to know about me?', 'utterance_type': 'STATEMENT', 'position': '0-37', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'know about', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:48.826816', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 28, 'author': 'Leolani', 'utterance': 'What would you like to know about me?', 'utterance_type': 'STATEMENT', 'position': '0-37', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'would like', 'type': []}, 'object': {'label': 'to know about me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:48.826816', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 28, 'author': 'Leolani', 'utterance': 'What would you like to know about me?', 'utterance_type': 'STATEMENT', 'position': '0-37', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'would like', 'type': []}, 'object': {'label': 'know about me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:48.826816', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 28, 'author': 'Leolani', 'utterance': 'What would you like to know about me?', 'utterance_type': 'STATEMENT', 'position': '0-37', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'would like', 'type': []}, 'object': {'label': 'know', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:48.826816', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
30,Fajjaaz,"I know agent usually would like to verb.cognition, but I do not know this case",,"[{'chat': 40, 'turn': 29, 'author': 'Leolani', 'utterance': 'I know agent usually would like to verb.cognition, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-78', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'like to', 'type': []}, 'object': {'label': 'verb.cognition', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:55.336336', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 29, 'author': 'Leolani', 'utterance': 'I know agent usually would like to verb.cognition, but I do not know this case', 'utterance_type': 'STATEMENT', 'position': '0-78', 'subject': {'label': 'agent', 'type': []}, 'predicate': {'label': 'usually like to', 'type': []}, 'object': {'label': 'verb.cognition', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:36:55.336336', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
31,Leolani2,I have two hands,,"[{'chat': 40, 'turn': 30, 'author': 'Leolani', 'utterance': 'I have two hands', 'utterance_type': 'STATEMENT', 'position': '0-16', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'have', 'type': []}, 'object': {'label': 'two hands', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:37:01.879179', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
32,Fajjaaz,Let me ask you something. Has fajjaaz ever dislike a agent?,,"[{'chat': 40, 'turn': 31, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has fajjaaz ever dislike a agent?', 'utterance_type': 'STATEMENT', 'position': '0-59', 'subject': {'label': 'fajjaaz', 'type': []}, 'predicate': {'label': 'Has ever dislike', 'type': []}, 'object': {'label': 'agent', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:37:08.389829', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 31, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has fajjaaz ever dislike a agent?', 'utterance_type': 'STATEMENT', 'position': '0-59', 'subject': {'label': 'fajjaaz', 'type': []}, 'predicate': {'label': 'Has dislike', 'type': []}, 'object': {'label': 'agent', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:37:08.389829', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 31, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has fajjaaz ever dislike a agent?', 'utterance_type': 'STATEMENT', 'position': '0-59', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:37:08.389829', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 40, 'turn': 31, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has fajjaaz ever dislike a agent?', 'utterance_type': 'STATEMENT', 'position': '0-59', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:37:08.389829', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
33,Leolani2,Yes I dislike Hidde,,"[{'chat': 40, 'turn': 32, 'author': 'Leolani', 'utterance': 'Yes I dislike Hidde', 'utterance_type': 'STATEMENT', 'position': '0-19', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'dislike', 'type': []}, 'object': {'label': 'Hidde', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:37:14.981206', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
34,Fajjaaz,In this economy?,,
35,Leolani2,"no, in another economy",,
36,Fajjaaz,Why?,,
37,Leolani2,I am wearing glasses,,"[{'chat': 40, 'turn': 36, 'author': 'Leolani', 'utterance': 'I am wearing glasses', 'utterance_type': 'STATEMENT', 'position': '0-20', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am wearing', 'type': []}, 'object': {'label': 'glasses', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:37:40.910797', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
