Turn,Speaker,Cue,Capsules,Capsules OIE
19,Piotr,If you don't mind me asking. Has ella be member of institution?,,"[{'chat': 66, 'turn': 18, 'author': 'Leolani', 'utterance': ""If you don't mind me asking. Has ella be member of institution?"", 'utterance_type': 'STATEMENT', 'position': '0-63', 'subject': {'label': 'ella', 'type': []}, 'predicate': {'label': 'be', 'type': []}, 'object': {'label': 'Has member of institution', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:05:25.835231', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 18, 'author': 'Leolani', 'utterance': ""If you don't mind me asking. Has ella be member of institution?"", 'utterance_type': 'STATEMENT', 'position': '0-63', 'subject': {'label': 'ella', 'type': []}, 'predicate': {'label': 'be', 'type': []}, 'object': {'label': 'Has member', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:05:25.835231', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
20,Leolani2,Ella is student,,"[{'chat': 66, 'turn': 19, 'author': 'Leolani', 'utterance': 'Ella is student', 'utterance_type': 'STATEMENT', 'position': '0-15', 'subject': {'label': 'Ella', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'student', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:05:32.359197', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
21,Leolani2,If you don't mind me asking. Has ella own object?,,
22,,How's it going? What is your name? Ella?,,
23,,Ella,,
24,,So your name is Ella?,,"[{'chat': 66, 'turn': 23, 'author': 'Leolani', 'utterance': 'So your name is Ella?', 'utterance_type': 'STATEMENT', 'position': '0-21', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'So Ella', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:05:58.422795', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 23, 'author': 'Leolani', 'utterance': 'So your name is Ella?', 'utterance_type': 'STATEMENT', 'position': '0-21', 'subject': {'label': 'your name', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'Ella', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:05:58.422795', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
25,Leolani2,yes,,
26,Ella,"Tell me anything, I love learning things",,"[{'chat': 66, 'turn': 25, 'author': 'Leolani', 'utterance': 'Tell me anything, I love learning things', 'utterance_type': 'STATEMENT', 'position': '0-40', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'love', 'type': []}, 'object': {'label': 'things', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:06:11.307517', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 25, 'author': 'Leolani', 'utterance': 'Tell me anything, I love learning things', 'utterance_type': 'STATEMENT', 'position': '0-40', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'love', 'type': []}, 'object': {'label': 'learning things', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:06:11.307517', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
27,Leolani2,I am student,,"[{'chat': 66, 'turn': 26, 'author': 'Leolani', 'utterance': 'I am student', 'utterance_type': 'STATEMENT', 'position': '0-12', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'am', 'type': []}, 'object': {'label': 'student', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:06:17.791053', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
28,Ella,I did not know that! I had never heard about student before!,,"[{'chat': 66, 'turn': 27, 'author': 'Leolani', 'utterance': 'I did not know that! I had never heard about student before!', 'utterance_type': 'STATEMENT', 'position': '0-60', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard before about', 'type': []}, 'object': {'label': 'student', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:06:24.222963', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 27, 'author': 'Leolani', 'utterance': 'I did not know that! I had never heard about student before!', 'utterance_type': 'STATEMENT', 'position': '0-60', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard about', 'type': []}, 'object': {'label': 'student', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:06:24.222963', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
29,Leolani2,Alkmaar is city,,"[{'chat': 66, 'turn': 28, 'author': 'Leolani', 'utterance': 'Alkmaar is city', 'utterance_type': 'STATEMENT', 'position': '0-15', 'subject': {'label': 'Alkmaar', 'type': []}, 'predicate': {'label': 'is', 'type': []}, 'object': {'label': 'city', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:06:30.691665', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
30,Ella,Let me ask you something. What types can alkmaar be,,"[{'chat': 66, 'turn': 29, 'author': 'Leolani', 'utterance': 'Let me ask you something. What types can alkmaar be', 'utterance_type': 'STATEMENT', 'position': '0-51', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:06:37.163360', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 29, 'author': 'Leolani', 'utterance': 'Let me ask you something. What types can alkmaar be', 'utterance_type': 'STATEMENT', 'position': '0-51', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:06:37.163360', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
31,Leolani2,I live in Alkmaar,,"[{'chat': 66, 'turn': 30, 'author': 'Leolani', 'utterance': 'I live in Alkmaar', 'utterance_type': 'STATEMENT', 'position': '0-17', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'live in', 'type': []}, 'object': {'label': 'Alkmaar', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:06:43.679821', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
32,Ella,Let me ask you something. Has ella ever cook by a food?,,"[{'chat': 66, 'turn': 31, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has ella ever cook by a food?', 'utterance_type': 'STATEMENT', 'position': '0-55', 'subject': {'label': 'ella', 'type': []}, 'predicate': {'label': 'Has cook by', 'type': []}, 'object': {'label': 'food', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:06:50.197913', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 31, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has ella ever cook by a food?', 'utterance_type': 'STATEMENT', 'position': '0-55', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:06:50.197913', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 31, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has ella ever cook by a food?', 'utterance_type': 'STATEMENT', 'position': '0-55', 'subject': {'label': 'me', 'type': []}, 'predicate': {'label': 'ask', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:06:50.197913', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 31, 'author': 'Leolani', 'utterance': 'Let me ask you something. Has ella ever cook by a food?', 'utterance_type': 'STATEMENT', 'position': '0-55', 'subject': {'label': 'ella', 'type': []}, 'predicate': {'label': 'Has ever cook by', 'type': []}, 'object': {'label': 'food', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:06:50.197913', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
33,Leolani2,Ella cook food,,"[{'chat': 66, 'turn': 32, 'author': 'Leolani', 'utterance': 'Ella cook food', 'utterance_type': 'STATEMENT', 'position': '0-14', 'subject': {'label': 'Ella', 'type': []}, 'predicate': {'label': 'cook', 'type': []}, 'object': {'label': 'food', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:06:56.684720', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
34,Ella,That's just what he/she/they would've said,,
35,Leolani2,I know Piotr,,"[{'chat': 66, 'turn': 34, 'author': 'Leolani', 'utterance': 'I know Piotr', 'utterance_type': 'STATEMENT', 'position': '0-12', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'know', 'type': []}, 'object': {'label': 'Piotr', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:07:09.652191', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
36,Ella,"I just learned something, I had never heard about piotr before!",,"[{'chat': 66, 'turn': 35, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about piotr before!', 'utterance_type': 'STATEMENT', 'position': '0-63', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'just learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:07:16.150372', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 35, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about piotr before!', 'utterance_type': 'STATEMENT', 'position': '0-63', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard before about', 'type': []}, 'object': {'label': 'piotr', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:07:16.150372', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 35, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about piotr before!', 'utterance_type': 'STATEMENT', 'position': '0-63', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'learned', 'type': []}, 'object': {'label': 'something', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:07:16.150372', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 35, 'author': 'Leolani', 'utterance': 'I just learned something, I had never heard about piotr before!', 'utterance_type': 'STATEMENT', 'position': '0-63', 'subject': {'label': 'I', 'type': []}, 'predicate': {'label': 'had heard about', 'type': []}, 'object': {'label': 'piotr', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:07:16.150372', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
37,Leolani2,where piotr live?,,
38,Ella,Is this why fate brought us together?,,"[{'chat': 66, 'turn': 37, 'author': 'Leolani', 'utterance': 'Is this why fate brought us together?', 'utterance_type': 'STATEMENT', 'position': '0-37', 'subject': {'label': 'fate', 'type': []}, 'predicate': {'label': 'brought together', 'type': []}, 'object': {'label': 'us', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:07:29.138914', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 37, 'author': 'Leolani', 'utterance': 'Is this why fate brought us together?', 'utterance_type': 'STATEMENT', 'position': '0-37', 'subject': {'label': 'fate', 'type': []}, 'predicate': {'label': 'brought', 'type': []}, 'object': {'label': 'us', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:07:29.138914', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
39,Leolani2,where piotr live in?,,
40,Ella,"I may be ignorant, bu tI don't know.I am sorry, I have no idea",,
41,Leolani2,what I like?,,
42,Ella,Piotr told me you like flamingo and that you like what,,"[{'chat': 66, 'turn': 41, 'author': 'Leolani', 'utterance': 'Piotr told me you like flamingo and that you like what', 'utterance_type': 'STATEMENT', 'position': '0-54', 'subject': {'label': 'Piotr', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'you like flamingo', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:07:56.255882', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 41, 'author': 'Leolani', 'utterance': 'Piotr told me you like flamingo and that you like what', 'utterance_type': 'STATEMENT', 'position': '0-54', 'subject': {'label': 'Piotr', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'you', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:07:56.255882', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 41, 'author': 'Leolani', 'utterance': 'Piotr told me you like flamingo and that you like what', 'utterance_type': 'STATEMENT', 'position': '0-54', 'subject': {'label': 'Piotr', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:07:56.255882', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
43,Leolani2,what Piotr like?,,
44,Ella,I have no idea.,,
45,Leolani2,where I live?,,
46,Ella,I wouldn't know!,,
47,Leolani2,where I live in?,,
48,Ella,I don't know,,
49,Leolani2,what is Alkmaar?,,
50,Ella,you told me alkmaar is city,,"[{'chat': 66, 'turn': 49, 'author': 'Leolani', 'utterance': 'you told me alkmaar is city', 'utterance_type': 'STATEMENT', 'position': '0-27', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'alkmaar', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:08:47.878880', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}, {'chat': 66, 'turn': 49, 'author': 'Leolani', 'utterance': 'you told me alkmaar is city', 'utterance_type': 'STATEMENT', 'position': '0-27', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:08:47.878880', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
51,Leolani2,who lives in Alkmaar?,,
52,Ella,I have no idea.,,
53,Leolani2,who live in alkmaar?,,
54,Ella,you told me you live in alkmaar,,"[{'chat': 66, 'turn': 53, 'author': 'Leolani', 'utterance': 'you told me you live in alkmaar', 'utterance_type': 'STATEMENT', 'position': '0-31', 'subject': {'label': 'you', 'type': []}, 'predicate': {'label': 'told', 'type': []}, 'object': {'label': 'me', 'type': []}, 'perspective': {}, 'context_id': None, 'date': '2022-02-19T01:09:13.783056', 'place': '', 'place_id': None, 'country': '', 'region': '', 'city': '', 'objects': [], 'people': []}]"
55,Leolani2,stop,,
